"Cod_IBGE";"Grande região";"Município";"casos_acum";"obitos_acum"
3533205;"Interior";"Nova Independência";1864;8
3533254;"Interior";"Novais";326;21
3533304;"Interior";"Nova Luzitânia";397;15
3533403;"Interior";"Nova Odessa";11817;287
3533502;"Interior";"Novo Horizonte";6712;252
3533601;"Interior";"Nuporanga";428;17
3533700;"Interior";"Ocauçu";955;9
3533809;"Interior";"Óleo";163;6
3533908;"Interior";"Olímpia";15878;331
3534005;"Interior";"Onda Verde";1003;31
3534104;"Interior";"Oriente";447;30
3534203;"Interior";"Orindiúva";2525;21
3534302;"Interior";"Orlândia";8838;136
3534401;"RMSP (exceto capital)";"Osasco";51237;3305
3534500;"Interior";"Oscar Bressane";733;11
3534609;"Interior";"Osvaldo Cruz";10678;145
3534708;"Interior";"Ourinhos";28230;607
3534757;"Interior";"Ouroeste";3111;54
3534807;"Interior";"Ouro Verde";1250;42
3534906;"Interior";"Pacaembu";4348;62
3535002;"Interior";"Palestina";2923;52
3535101;"Interior";"Palmares Paulista";2636;47
3535200;"Interior";"Palmeira d'Oeste";2984;47
3535309;"Interior";"Palmital";5019;84
3535408;"Interior";"Panorama";4781;85
3535507;"Interior";"Paraguaçu Paulista";10784;182
3535606;"Interior";"Paraibuna";1363;60
3535705;"Interior";"Paraíso";1396;31
3535804;"Interior";"Paranapanema";2208;92
3535903;"Interior";"Paranapuã";1504;31
3536000;"Interior";"Parapuã";1624;56
3536109;"Interior";"Pardinho";1235;19
3536208;"Interior";"Pariquera-Açu";4580;77
3536257;"Interior";"Parisi";1133;20
3536307;"Interior";"Patrocínio Paulista";1153;47
3536406;"Interior";"Paulicéia";2160;28
3536505;"Interior";"Paulínia";27834;363
3536570;"Interior";"Paulistânia";216;7
3536604;"Interior";"Paulo de Faria";1732;46
3536703;"Interior";"Pederneiras";11162;148
3536802;"Interior";"Pedra Bela";304;12
3536901;"Interior";"Pedranópolis";281;13
3537008;"Interior";"Pedregulho";403;31
3537107;"Interior";"Pedreira";6429;156
3537156;"Interior";"Pedrinhas Paulista";782;15
3537206;"Interior";"Pedro de Toledo";1190;26
3537305;"Interior";"Penápolis";22248;339
3537404;"Interior";"Pereira Barreto";5953;120
3537503;"Interior";"Pereiras";1220;24
3537602;"Interior";"Peruíbe";13385;320
3537701;"Interior";"Piacatu";2103;12
3537800;"Interior";"Piedade";9472;193
3537909;"Interior";"Pilar do Sul";6964;96
3538006;"Interior";"Pindamonhangaba";44587;629
3538105;"Interior";"Pindorama";4512;74
3538204;"Interior";"Pinhalzinho";2745;43
3538303;"Interior";"Piquerobi";270;9
3538501;"Interior";"Piquete";420;35
3538600;"Interior";"Piracaia";6193;106
3538709;"Interior";"Piracicaba";110099;1725
3538808;"Interior";"Piraju";8524;129
3538907;"Interior";"Pirajuí";5135;77
3539004;"Interior";"Pirangi";3382;76
3539103;"RMSP (exceto capital)";"Pirapora do Bom Jesus";1684;29
3539202;"Interior";"Pirapozinho";4484;96
3539301;"Interior";"Pirassununga";21511;324
3539400;"Interior";"Piratininga";2369;53
3539509;"Interior";"Pitangueiras";9092;201
3539608;"Interior";"Planalto";1496;14
3539707;"Interior";"Platina";787;12
3539806;"RMSP (exceto capital)";"Poá";13305;458
3539905;"Interior";"Poloni";2127;26
3540002;"Interior";"Pompéia";1078;68
3540101;"Interior";"Pongaí";402;12
3540200;"Interior";"Pontal";9076;188
3540259;"Interior";"Pontalinda";609;21
3540309;"Interior";"Pontes Gestal";992;12
3540408;"Interior";"Populina";1563;23
3540507;"Interior";"Porangaba";1258;30
3540606;"Interior";"Porto Feliz";14889;206
3540705;"Interior";"Porto Ferreira";18239;222
3540754;"Interior";"Potim";3823;41
3540804;"Interior";"Potirendaba";6144;103
3540853;"Interior";"Pracinha";600;7
3540903;"Interior";"Pradópolis";2070;50
3541000;"Interior";"Praia Grande";40130;1402
3541059;"Interior";"Pratânia";1703;19
3541109;"Interior";"Presidente Alves";734;12
3541208;"Interior";"Presidente Bernardes";1445;54
3541307;"Interior";"Presidente Epitácio";7455;154
3541406;"Interior";"Presidente Prudente";44271;1117
3541505;"Interior";"Presidente Venceslau";6700;144
3541604;"Interior";"Promissão";10627;136
3541653;"Interior";"Quadra";276;10
3541703;"Interior";"Quatá";2988;33
3541802;"Interior";"Queiroz";1062;3
3541901;"Interior";"Queluz";1096;33
3542008;"Interior";"Quintana";596;35
3542107;"Interior";"Rafard";1177;18
3542206;"Interior";"Rancharia";8241;125
3542305;"Interior";"Redenção da Serra";135;9
3542404;"Interior";"Regente Feijó";2490;83
3542503;"Interior";"Reginópolis";1082;27
3542602;"Interior";"Registro";13731;263
3542701;"Interior";"Restinga";733;11
3542800;"Interior";"Ribeira";539;9
3542909;"Interior";"Ribeirão Bonito";1837;36
3543006;"Interior";"Ribeirão Branco";2866;72
3543105;"Interior";"Ribeirão Corrente";349;6
3543204;"Interior";"Ribeirão do Sul";723;27
3543238;"Interior";"Ribeirão dos Índios";119;8
3543253;"Interior";"Ribeirão Grande";535;30
3543303;"RMSP (exceto capital)";"Ribeirão Pires";16158;421
3543402;"Interior";"Ribeirão Preto";114202;3636
3543501;"Interior";"Riversul";1049;33
3543600;"Interior";"Rifaina";1191;14
3543709;"Interior";"Rincão";2443;51
3543808;"Interior";"Rinópolis";678;23
3543907;"Interior";"Rio Claro";14064;742
3544004;"Interior";"Rio das Pedras";3771;122
3544103;"RMSP (exceto capital)";"Rio Grande da Serra";2446;110
3544202;"Interior";"Riolândia";3096;34
3544251;"Interior";"Rosana";5459;58
3544301;"Interior";"Roseira";1619;33
3544400;"Interior";"Rubiácea";744;11
3544509;"Interior";"Rubinéia";1597;20
3544608;"Interior";"Sabino";325;34
3544707;"Interior";"Sagres";268;4
3544806;"Interior";"Sales";1430;51
3544905;"Interior";"Sales Oliveira";1869;35
3545001;"RMSP (exceto capital)";"Salesópolis";725;65
3545100;"Interior";"Salmourão";556;26
3545159;"Interior";"Saltinho";2581;27
3545209;"Interior";"Salto";27530;542
3545308;"Interior";"Salto de Pirapora";4484;191
3545407;"Interior";"Salto Grande";2101;19
3545506;"Interior";"Sandovalina";965;17
3545605;"Interior";"Santa Adélia";3264;76
3545704;"Interior";"Santa Albertina";2721;31
3545803;"Interior";"Santa Bárbara d'Oeste";40090;941
3546009;"Interior";"Santa Branca";2294;40
3546108;"Interior";"Santa Clara d'Oeste";634;26
3546207;"Interior";"Santa Cruz da Conceição";2217;18
3546256;"Interior";"Santa Cruz da Esperança";206;8
3546306;"Interior";"Santa Cruz das Palmeiras";6071;140
3546405;"Interior";"Santa Cruz do Rio Pardo";9495;216
3546504;"Interior";"Santa Ernestina";577;22
3546603;"Interior";"Santa Fé do Sul";10526;172
3546702;"Interior";"Santa Gertrudes";3949;89
3546801;"RMSP (exceto capital)";"Santa Isabel";10484;303
3546900;"Interior";"Santa Lúcia";815;27
3547007;"Interior";"Santa Maria da Serra";1367;12
3547106;"Interior";"Santa Mercedes";1008;11
3547205;"Interior";"Santana da Ponte Pensa";580;6
3547304;"RMSP (exceto capital)";"Santana de Parnaíba";29979;454
3547403;"Interior";"Santa Rita d'Oeste";470;18
3547502;"Interior";"Santa Rita do Passa Quatro";1857;51
3547601;"Interior";"Santa Rosa de Viterbo";2518;61
3547650;"Interior";"Santa Salete";790;9
3547700;"Interior";"Santo Anastácio";4107;73
3547809;"RMSP (exceto capital)";"Santo André";109732;3636
3547908;"Interior";"Santo Antônio da Alegria";687;26
3548005;"Interior";"Santo Antônio de Posse";5066;75
3548054;"Interior";"Santo Antônio do Aracanguá";593;40
3548104;"Interior";"Santo Antônio do Jardim";1524;26
3548203;"Interior";"Santo Antônio do Pinhal";1606;11
3548302;"Interior";"Santo Expedito";216;11
3548401;"Interior";"Santópolis do Aguapeí";762;19
3548500;"Interior";"Santos";88353;2706
3548609;"Interior";"São Bento do Sapucaí";824;14
3548708;"RMSP (exceto capital)";"São Bernardo do Campo";79154;3951
3548807;"RMSP (exceto capital)";"São Caetano do Sul";39792;1218
3548906;"Interior";"São Carlos";38448;670
3549003;"Interior";"São Francisco";948;22
3549102;"Interior";"São João da Boa Vista";28354;418
3549201;"Interior";"São João das Duas Pontes";833;11
3549250;"Interior";"São João de Iracema";944;10
3549300;"Interior";"São João do Pau d'Alho";306;4
3549409;"Interior";"São Joaquim da Barra";7482;192
3549508;"Interior";"São José da Bela Vista";342;23
3549607;"Interior";"São José do Barreiro";765;9
3549706;"Interior";"São José do Rio Pardo";8045;191
3549805;"Interior";"São José do Rio Preto";170221;3309
3549904;"Interior";"São José dos Campos";138714;2508
3549953;"RMSP (exceto capital)";"São Lourenço da Serra";720;43
3550001;"Interior";"São Luiz do Paraitinga";991;40
3550100;"Interior";"São Manuel";6762;181
3550209;"Interior";"São Miguel Arcanjo";5203;94
3550308;"Capital";"São Paulo";1217401;46347
3550407;"Interior";"São Pedro";11399;127
3550506;"Interior";"São Pedro do Turvo";1027;18
3550605;"Interior";"São Roque";7246;140
3550704;"Interior";"São Sebastião";8939;211
3550803;"Interior";"São Sebastião da Grama";2895;40
3550902;"Interior";"São Simão";1702;39
3551009;"Interior";"São Vicente";33398;1485
3551108;"Interior";"Sarapuí";528;7
3551207;"Interior";"Sarutaiá";156;23
3551306;"Interior";"Sebastianópolis do Sul";384;12
3551405;"Interior";"Serra Azul";1478;23
3551504;"Interior";"Serrana";12137;156
3551603;"Interior";"Serra Negra";7612;109
3551702;"Interior";"Sertãozinho";20356;586
3551801;"Interior";"Sete Barras";3163;49
3551900;"Interior";"Severínia";3104;87
3552007;"Interior";"Silveiras";571;11
3552106;"Interior";"Socorro";7056;116
3552205;"Interior";"Sorocaba";117028;3324
3552304;"Interior";"Sud Mennucci";967;25
3552403;"Interior";"Sumaré";44436;1027
3552502;"Interior";"Suzano";31445;1067
3552551;"Interior";"Suzanápolis";511;13
3552601;"Interior";"Tabapuã";3394;79
3552700;"Interior";"Tabatinga";3069;62
3552809;"Interior";"Taboão da Serra";20129;1073
3552908;"Interior";"Taciba";872;29
3553005;"Interior";"Taguaí";3511;48
3553104;"Interior";"Taiaçu";1666;20
3553203;"Interior";"Taiúva";1115;21
3553302;"Interior";"Tambaú";5894;66
3553401;"Interior";"Tanabi";7453;143
3553500;"Interior";"Tapiraí";871;11
3553609;"Interior";"Tapiratiba";3103;44
3553658;"Interior";"Taquaral";460;13
3553708;"Interior";"Taquaritinga";15503;262
3553807;"Interior";"Taquarituba";7625;124
3553856;"Interior";"Taquarivaí";1110;22
3553906;"Interior";"Tarabai";1146;36
3553955;"Interior";"Tarumã";1834;58
3554003;"Interior";"Tatuí";23054;545
3554102;"Interior";"Taubaté";43942;1267
3554201;"Interior";"Tejupá";438;13
3554300;"Interior";"Teodoro Sampaio";4123;61
3554409;"Interior";"Terra Roxa";1410;40
3554508;"Interior";"Tietê";9394;137
3554607;"Interior";"Timburi";912;16
3554656;"Interior";"Torre de Pedra";244;14
3554706;"Interior";"Torrinha";4391;28
3554755;"Interior";"Trabiju";459;5
3554805;"Interior";"Tremembé";3098;76
3554904;"Interior";"Três Fronteiras";2169;39
3554953;"Interior";"Tuiuti";1336;23
3555000;"Interior";"Tupã";8352;355
3555109;"Interior";"Tupi Paulista";4607;60
3555208;"Interior";"Turiúba";572;4
3555307;"Interior";"Turmalina";687;7
3555356;"Interior";"Ubarana";1848;26
3555406;"Interior";"Ubatuba";14073;169
3555505;"Interior";"Ubirajara";584;16
3555604;"Interior";"Uchoa";2248;47
3555703;"Interior";"União Paulista";353;8
3555802;"Interior";"Urânia";4214;53
3555901;"Interior";"Uru";452;6
3556008;"Interior";"Urupês";1016;62
3556107;"Interior";"Valentim Gentil";5781;81
3556206;"Interior";"Valinhos";26924;577
3556305;"Interior";"Valparaíso";6078;91
3556354;"Interior";"Vargem";665;28
3556404;"Interior";"Vargem Grande do Sul";6941;125
3556453;"RMSP (exceto capital)";"Vargem Grande Paulista";7405;146
3556503;"Interior";"Várzea Paulista";14738;318
3556602;"Interior";"Vera Cruz";734;51
3556701;"Interior";"Vinhedo";19121;263
3556800;"Interior";"Viradouro";4492;120
3556909;"Interior";"Vista Alegre do Alto";1953;25
3556958;"Interior";"Vitória Brasil";774;11
3557006;"Interior";"Votorantim";12629;587
3557105;"Interior";"Votuporanga";35173;526
3557154;"Interior";"Zacarias";442;14
3557204;"Interior";"Chavantes";2830;64
3557303;"Interior";"Estiva Gerbi";1307;37
9999999;NA;"Ignorado";269;0
